,national_id,main_name,hp,attack,defense,spatk,spdef,speed,count_form
291,291,Houndoom,75,90,50,110,80,95,2
292,292,Mega Houndoom,75,90,90,140,90,115,2
293,293,Kingdra,75,95,95,95,95,85,1
294,294,Phanpy,90,60,60,40,40,40,1
295,295,Donphan,90,120,120,60,60,50,1
296,296,Porygon2,85,80,90,105,95,60,1
297,297,Stantler,73,95,62,85,65,85,1
298,298,Smeargle,55,20,35,20,45,75,1
299,299,Tyrogue,35,35,35,35,35,35,1
300,300,Hitmontop,50,95,95,35,110,70,1
301,301,Smoochum,45,30,15,85,65,65,1
302,302,Elekid,45,63,37,65,55,95,1
303,303,Magby,45,75,37,70,55,83,1
304,304,Miltank,95,80,105,40,70,100,1
305,305,Blissey,255,10,10,75,135,55,1
306,306,Raikou,90,85,75,115,100,115,1
307,307,Entei,115,115,85,90,75,100,1
308,308,Suicune,100,75,115,90,115,85,1
309,309,Larvitar,50,64,50,45,50,41,1
310,310,Pupitar,70,84,70,65,70,51,1
311,311,Tyranitar,100,134,110,95,100,61,2
312,312,Mega Tyranitar,100,164,150,95,120,71,2
313,313,Lugia,106,90,130,90,154,110,1
314,314,Ho-oh,106,130,90,110,154,90,1
315,315,Celebi,100,100,100,100,100,100,1
316,316,Treecko,40,45,35,65,55,70,1
317,317,Grovyle,50,65,45,85,65,95,1
318,318,Sceptile,70,85,65,105,85,120,2
319,319,Mega Sceptile,70,110,75,145,85,145,2
320,320,Torchic,45,60,40,70,50,45,1
321,321,Combusken,60,85,60,85,60,55,1
322,322,Blaziken,80,120,70,110,70,80,2
323,323,Mega Blaziken,80,160,80,130,80,100,2
324,324,Mudkip,50,70,50,50,50,40,1
325,325,Marshtomp,70,85,70,60,70,50,1
326,326,Swampert,100,110,90,85,90,60,2
327,327,Mega Swampert,100,150,110,95,110,70,2
328,328,Poochyena,35,55,35,30,30,35,1
329,329,Mightyena,70,90,70,60,60,70,1
330,330,Zigzagoon,38,30,41,30,41,60,2
331,331,Galarian Zigzagoon,38,30,41,30,41,60,2
332,332,Linoone,78,70,61,50,61,100,2
333,333,Galarian Linoone,78,70,61,50,61,100,2
334,334,Wurmple,45,45,35,20,30,20,1
335,335,Silcoon,50,35,55,25,25,15,1
336,336,Beautifly,60,70,50,100,50,65,1
337,337,Cascoon,50,35,55,25,25,15,1
338,338,Dustox,60,50,70,50,90,65,1
339,339,Lotad,40,30,30,40,50,30,1
340,340,Lombre,60,50,50,60,70,50,1
341,341,Ludicolo,80,70,70,90,100,70,1
342,342,Seedot,40,40,50,30,30,30,1
343,343,Nuzleaf,70,70,40,60,40,60,1
344,344,Shiftry,90,100,60,90,60,80,1
345,345,Taillow,40,55,30,30,30,85,1
346,346,Swellow,60,85,60,75,50,125,1
347,347,Wingull,40,30,30,55,30,85,1
348,348,Pelipper,60,50,100,95,70,65,1
349,349,Ralts,28,25,25,45,35,40,1
350,350,Kirlia,38,35,35,65,55,50,1
351,351,Gardevoir,68,65,65,125,115,80,2
352,352,Mega Gardevoir,68,85,65,165,135,100,2
353,353,Surskit,40,30,32,50,52,65,1
354,354,Masquerain,70,60,62,100,82,80,1
355,355,Shroomish,60,40,60,40,60,35,1
356,356,Breloom,60,130,80,60,60,70,1
357,357,Slakoth,60,60,60,35,35,30,1
358,358,Vigoroth,80,80,80,55,55,90,1
359,359,Slaking,150,160,100,95,65,100,1
360,360,Nincada,31,45,90,30,30,40,1
361,361,Ninjask,61,90,45,50,50,160,1
362,362,Shedinja,1,90,45,30,30,40,1
363,363,Whismur,64,51,23,51,23,28,1
364,364,Loudred,84,71,43,71,43,48,1
365,365,Exploud,104,91,63,91,73,68,1
366,366,Makuhita,72,60,30,20,30,25,1
367,367,Hariyama,144,120,60,40,60,50,1
368,368,Azurill,50,20,40,20,40,20,1
369,369,Nosepass,30,45,135,45,90,30,1
370,370,Skitty,50,45,45,35,35,50,1
371,371,Delcatty,70,65,65,55,55,90,1
372,372,Sableye,50,75,75,65,65,50,2
373,373,Mega Sableye,50,85,125,85,115,20,2
374,374,Mawile,50,85,85,55,55,50,2
375,375,Mega Mawile,50,105,125,55,95,50,2
376,376,Aron,50,70,100,40,40,30,1
377,377,Lairon,60,90,140,50,50,40,1
378,378,Aggron,70,110,180,60,60,50,2
379,379,Mega Aggron,70,140,230,60,80,50,2
380,380,Meditite,30,40,55,40,55,60,1
381,381,Medicham,60,60,75,60,75,80,2
382,382,Mega Medicham,60,100,85,80,85,100,2
383,383,Electrike,40,45,40,65,40,65,1
384,384,Manectric,70,75,60,105,60,105,2
385,385,Mega Manectric,70,75,80,135,80,135,2
386,386,Plusle,60,50,40,85,75,95,1
387,387,Minun,60,40,50,75,85,95,1
388,388,Volbeat,65,73,75,47,85,85,1
389,389,Illumise,65,47,75,73,85,85,1
390,390,Roselia,50,60,45,100,80,65,1
391,391,Gulpin,70,43,53,43,53,40,1
392,392,Swalot,100,73,83,73,83,55,1
393,393,Carvanha,45,90,20,65,20,65,1
394,394,Sharpedo,70,120,40,95,40,95,2
395,395,Mega Sharpedo,70,140,70,110,65,105,2
396,396,Wailmer,130,70,35,70,35,60,1
397,397,Wailord,170,90,45,90,45,60,1
398,398,Numel,60,60,40,65,45,35,1
399,399,Camerupt,70,100,70,105,75,40,2
400,400,Mega Camerupt,70,120,100,145,105,20,2
401,401,Torkoal,70,85,140,85,70,20,1
402,402,Spoink,60,25,35,70,80,60,1
403,403,Grumpig,80,45,65,90,110,80,1
404,404,Spinda,60,60,60,60,60,60,1
405,405,Trapinch,45,100,45,45,45,10,1
406,406,Vibrava,50,70,50,50,50,70,1
407,407,Flygon,80,100,80,80,80,100,1
408,408,Cacnea,50,85,40,85,40,35,1
409,409,Cacturne,70,115,60,115,60,55,1
410,410,Swablu,45,40,60,40,75,50,1
411,411,Altaria,75,70,90,70,105,80,2
412,412,Mega Altaria,75,110,110,110,105,80,2
413,413,Zangoose,73,115,60,60,60,90,1
414,414,Seviper,73,100,60,100,60,65,1
415,415,Lunatone,90,55,65,95,85,70,1
416,416,Solrock,90,95,85,55,65,70,1
417,417,Barboach,50,48,43,46,41,60,1
418,418,Whiscash,110,78,73,76,71,60,1
419,419,Corphish,43,80,65,50,35,35,1
420,420,Crawdaunt,63,120,85,90,55,55,1
421,421,Baltoy,40,40,55,40,70,55,1
422,422,Claydol,60,70,105,70,120,75,1
423,423,Lileep,66,41,77,61,87,23,1
424,424,Cradily,86,81,97,81,107,43,1
425,425,Anorith,45,95,50,40,50,75,1
426,426,Armaldo,75,125,100,70,80,45,1
427,427,Feebas,20,15,20,10,55,80,1
428,428,Milotic,95,60,79,100,125,81,1
429,429,Castform,70,70,70,70,70,70,4
430,430,Sunny Form,70,70,70,70,70,70,4
431,431,Rainy Form,70,70,70,70,70,70,4
432,432,Snowy Form,70,70,70,70,70,70,4
433,433,Kecleon,60,90,70,60,120,40,1
434,434,Shuppet,44,75,35,63,33,45,1
435,435,Banette,64,115,65,83,63,65,2
436,436,Mega Banette,64,165,75,93,83,75,2
437,437,Duskull,20,40,90,30,90,25,1
438,438,Dusclops,40,70,130,60,130,25,1
439,439,Tropius,99,68,83,72,87,51,1
440,440,Chimecho,75,50,80,95,90,65,1
441,441,Absol,65,130,60,75,60,75,2
442,442,Mega Absol,65,150,60,115,60,115,2
443,443,Wynaut,95,23,48,23,48,23,1
444,444,Snorunt,50,50,50,50,50,50,1
445,445,Glalie,80,80,80,80,80,80,2
446,446,Mega Glalie,80,120,80,120,80,100,2
447,447,Spheal,70,40,50,55,50,25,1
448,448,Sealeo,90,60,70,75,70,45,1
449,449,Walrein,110,80,90,95,90,65,1
450,450,Clamperl,35,64,85,74,55,32,1
451,451,Huntail,55,104,105,94,75,52,1
452,452,Gorebyss,55,84,105,114,75,52,1
453,453,Relicanth,100,90,130,45,65,55,1
454,454,Luvdisc,43,30,55,40,65,97,1
455,455,Bagon,45,75,60,40,30,50,1
456,456,Shelgon,65,95,100,60,50,50,1
457,457,Salamence,95,135,80,110,80,100,2
458,458,Mega Salamence,95,145,130,120,90,120,2
459,459,Beldum,40,55,80,35,60,30,1
460,460,Metang,60,75,100,55,80,50,1
461,461,Metagross,80,135,130,95,90,70,2
462,462,Mega Metagross,80,145,150,105,110,110,2
463,463,Regirock,80,100,200,50,100,50,1
464,464,Regice,80,50,100,100,200,50,1
465,465,Registeel,80,75,150,75,150,50,1
466,466,Latias,80,80,90,110,130,110,2
467,467,Mega Latias,80,100,120,140,150,110,2
468,468,Latios,80,90,80,130,110,110,2
469,469,Mega Latios,80,130,100,160,120,110,2
470,470,Kyogre,100,100,90,150,140,90,2
471,471,Primal Kyogre,100,150,90,180,160,90,2
472,472,Groudon,100,150,140,100,90,90,2
473,473,Primal Groudon,100,180,160,150,90,90,2
474,474,Rayquaza,105,150,90,150,90,95,2
475,475,Mega Rayquaza,105,180,100,180,100,115,2
476,476,Jirachi,100,100,100,100,100,100,1
477,477,Normal Forme,50,150,50,150,50,150,4
478,478,Attack Forme,50,180,20,180,20,150,4
479,479,Defense Forme,50,70,160,70,160,90,4
480,480,Speed Forme,50,95,90,95,90,180,4
481,481,Turtwig,55,68,64,45,55,31,1
482,482,Grotle,75,89,85,55,65,36,1
483,483,Torterra,95,109,105,75,85,56,1
484,484,Chimchar,44,58,44,58,44,61,1
485,485,Monferno,64,78,52,78,52,81,1
486,486,Infernape,76,104,71,104,71,108,1
487,487,Piplup,53,51,53,61,56,40,1
488,488,Prinplup,64,66,68,81,76,50,1
489,489,Empoleon,84,86,88,111,101,60,1
490,490,Starly,40,55,30,30,30,60,1
491,491,Staravia,55,75,50,40,40,80,1
492,492,Staraptor,85,120,70,50,60,100,1
493,493,Bidoof,59,45,40,35,40,31,1
494,494,Bibarel,79,85,60,55,60,71,1
495,495,Kricketot,37,25,41,25,41,25,1
496,496,Kricketune,77,85,51,55,51,65,1
497,497,Shinx,45,65,34,40,34,45,1
498,498,Luxio,60,85,49,60,49,60,1
499,499,Luxray,80,120,79,95,79,70,1
500,500,Budew,40,30,35,50,70,55,1
501,501,Roserade,60,70,65,125,105,90,1
502,502,Cranidos,67,125,40,30,30,58,1
503,503,Rampardos,97,165,60,65,50,58,1
504,504,Shieldon,30,42,118,42,88,30,1
505,505,Bastiodon,60,52,168,47,138,30,1
506,506,Plant Cloak,40,29,45,29,45,36,3
507,507,Sandy Cloak,40,29,45,29,45,36,3
508,508,Trash Cloak,40,29,45,29,45,36,3
509,509,Plant Cloak,60,59,85,79,105,36,3
510,510,Sandy Cloak,60,79,105,59,85,36,3
511,511,Trash Cloak,60,69,95,69,95,36,3
512,512,Mothim,70,94,50,94,50,66,1
513,513,Combee,30,30,42,30,42,70,1
514,514,Vespiquen,70,80,102,80,102,40,1
515,515,Pachirisu,60,45,70,45,90,95,1
516,516,Buizel,55,65,35,60,30,85,1
517,517,Floatzel,85,105,55,85,50,115,1
518,518,Cherubi,45,35,45,62,53,35,1
519,519,Cherrim,70,60,70,87,78,85,1
520,520,Shellos,76,48,48,57,62,34,1
521,521,Gastrodon,111,83,68,92,82,39,1
522,522,Ambipom,75,100,66,60,66,115,1
523,523,Drifloon,90,50,34,60,44,70,1
524,524,Drifblim,150,80,44,90,54,80,1
525,525,Buneary,55,66,44,44,56,85,1
526,526,Lopunny,65,76,84,54,96,105,2
527,527,Mega Lopunny,65,136,94,54,96,135,2
528,528,Mismagius,60,60,60,105,105,105,1
529,529,Honchkrow,100,125,52,105,52,71,1
530,530,Glameow,49,55,42,42,37,85,1
531,531,Purugly,71,82,64,64,59,112,1
532,532,Chingling,45,30,50,65,50,45,1
533,533,Stunky,63,63,47,41,41,74,1
534,534,Skuntank,103,93,67,71,61,84,1
535,535,Bronzor,57,24,86,24,86,23,1
536,536,Bronzong,67,89,116,79,116,33,1
537,537,Bonsly,50,80,95,10,45,10,1
538,538,Mime Jr.,20,25,45,70,90,60,1
539,539,Happiny,100,5,5,15,65,30,1
540,540,Chatot,76,65,45,92,42,91,1
541,541,Spiritomb,50,92,108,92,108,35,1
542,542,Gible,58,70,45,40,45,42,1
543,543,Gabite,68,90,65,50,55,82,1
544,544,Garchomp,108,130,95,80,85,102,2
545,545,Mega Garchomp,108,170,115,120,95,92,2
546,546,Munchlax,135,85,40,40,85,5,1
547,547,Riolu,40,70,40,35,40,60,1
548,548,Lucario,70,110,70,115,70,90,2
549,549,Mega Lucario,70,145,88,140,70,112,2
550,550,Hippopotas,68,72,78,38,42,32,1
551,551,Hippowdon,108,112,118,68,72,47,1
552,552,Skorupi,40,50,90,30,55,65,1
553,553,Drapion,70,90,110,60,75,95,1
554,554,Croagunk,48,61,40,61,40,50,1
555,555,Toxicroak,83,106,65,86,65,85,1
556,556,Carnivine,74,100,72,90,72,46,1
557,557,Finneon,49,49,56,49,61,66,1
558,558,Lumineon,69,69,76,69,86,91,1
559,559,Mantyke,45,20,50,60,120,50,1
560,560,Snover,60,62,50,62,60,40,1
561,561,Abomasnow,90,92,75,92,85,60,2
562,562,Mega Abomasnow,90,132,105,132,105,30,2
563,563,Weavile,70,120,65,45,85,125,1
564,564,Magnezone,70,70,115,130,90,60,1
565,565,Lickilicky,110,85,95,80,95,50,1
566,566,Rhyperior,115,140,130,55,55,40,1
567,567,Tangrowth,100,100,125,110,50,50,1
568,568,Electivire,75,123,67,95,85,95,1
569,569,Magmortar,75,95,67,125,95,83,1
570,570,Togekiss,85,50,95,120,115,80,1
571,571,Yanmega,86,76,86,116,56,95,1
572,572,Leafeon,65,110,130,60,65,95,1
