;hp;attack;defense;spatk;spdef;speed;count_form;national_id;main_name;gambar;label
55;75;80;70;65;75;90;1;55;Golbat;55.jpg;1
56;45;50;55;75;65;30;1;56;Oddish;56.jpg;3
57;60;65;70;85;75;40;1;57;Gloom;57.jpg;5
58;75;80;85;110;90;50;1;58;Vileplume;58.jpg;5
59;35;70;55;45;55;25;1;59;Paras;59.jpg;3
60;60;95;80;60;80;30;1;60;Parasect;60.jpg;5
61;60;55;50;40;55;45;1;61;Venonat;61.jpg;3
62;70;65;60;90;75;90;1;62;Venomoth;62.jpg;4
63;10;55;25;35;45;95;2;63;Diglett;63.jpg;0
64;10;55;30;35;45;90;2;64;Alolan Diglett;64.jpg;0
65;35;100;50;50;70;120;2;65;Dugtrio;65.jpg;1
66;35;100;60;50;70;110;2;66;Alolan Dugtrio;66.jpg;1
67;40;45;35;40;40;90;3;67;Meowth;67.jpg;0
68;40;35;35;50;40;90;3;68;Alolan Meowth;68.jpg;0
69;50;65;55;40;40;40;3;69;Galarian Meowth;69.jpg;3
70;65;70;60;65;65;115;2;70;Persian;70.jpg;1
71;65;60;60;75;65;115;2;71;Alolan Persian;71.jpg;4
72;50;52;48;65;50;55;1;72;Psyduck;72.jpg;0
73;80;82;78;95;80;85;1;73;Golduck;73.jpg;2
74;40;80;35;35;45;70;1;74;Mankey;74.jpg;0
75;65;105;60;60;70;95;1;75;Primeape;75.jpg;1
76;55;70;45;70;50;60;2;76;Growlithe;76.jpg;0
77;60;75;45;65;50;55;2;77;Hisuian Growlithe;77.jpg;0
78;90;110;80;100;80;95;2;78;Arcanine;78.jpg;2
79;95;115;80;95;80;90;2;79;Hisuian Arcanine;79.jpg;2
80;40;50;40;40;40;90;1;80;Poliwag;80.jpg;0
81;65;65;65;50;50;90;1;81;Poliwhirl;81.jpg;1
82;90;95;95;70;90;70;1;82;Poliwrath;82.jpg;2
83;25;20;15;105;55;90;1;83;Abra;83.jpg;4
84;40;35;30;120;70;105;1;84;Kadabra;84.jpg;4
85;55;50;45;135;95;120;2;85;Alakazam;85.jpg;4
86;55;50;65;175;105;150;2;86;Mega Alakazam;86.jpg;4
87;70;80;50;35;35;35;1;87;Machop;87.jpg;3
88;80;100;70;50;60;45;1;88;Machoke;88.jpg;5
89;90;130;80;65;85;55;1;89;Machamp;89.jpg;5
90;50;75;35;70;30;40;1;90;Bellsprout;90.jpg;0
91;65;90;50;85;45;55;1;91;Weepinbell;91.jpg;1
92;80;105;65;100;70;70;1;92;Victreebel;92.jpg;2
93;40;40;35;50;100;70;1;93;Tentacool;93.jpg;0
94;80;70;65;80;120;100;1;94;Tentacruel;94.jpg;4
95;40;80;100;30;30;20;2;95;Geodude;95.jpg;3
96;40;80;100;30;30;20;2;96;Alolan Geodude;96.jpg;3
97;55;95;115;45;45;35;2;97;Graveler;97.jpg;5
98;55;95;115;45;45;35;2;98;Alolan Graveler;98.jpg;5
99;80;120;130;55;65;45;2;99;Golem;99.jpg;5
100;80;120;130;55;65;45;2;100;Alolan Golem;100.jpg;5
101;50;85;55;65;65;90;2;101;Ponyta;101.jpg;1
102;50;85;55;65;65;90;2;102;Galarian Ponyta;102.jpg;1
103;65;100;70;80;80;105;2;103;Rapidash;103.jpg;1
104;65;100;70;80;80;105;2;104;Galarian Rapidash;104.jpg;1
105;90;65;65;40;40;15;2;105;Slowpoke;105.jpg;1
106;90;65;65;40;40;15;2;106;Galarian Slowpoke;106.jpg;1
107;95;75;110;100;80;30;3;107;Slowbro;107.jpg;5
108;95;75;180;130;80;30;3;108;Mega Slowbro;108.jpg;5
109;95;100;95;100;70;30;3;109;Galarian Slowbro;109.jpg;5
110;25;35;70;95;55;45;1;110;Magnemite;110.jpg;0
111;50;60;95;120;70;70;1;111;Magneton;111.jpg;4
112;52;90;55;58;62;60;2;112;Farfetch'd;112.jpg;1
113;52;95;55;58;62;55;2;113;Galarian Farfetch'd;113.jpg;1
114;35;85;45;35;35;75;1;114;Doduo;114.jpg;0
115;60;110;70;60;60;110;1;115;Dodrio;115.jpg;1
116;65;45;55;45;70;45;1;116;Seel;116.jpg;3
117;90;70;80;70;95;70;1;117;Dewgong;117.jpg;4
118;80;80;50;40;50;25;2;118;Grimer;118.jpg;3
119;80;80;50;40;50;25;2;119;Alolan Grimer;119.jpg;3
120;105;105;75;65;100;50;2;120;Muk;120.jpg;5
121;105;105;75;65;100;50;2;121;Alolan Muk;121.jpg;5
122;30;65;100;45;25;40;1;122;Shellder;122.jpg;3
123;50;95;180;85;45;70;1;123;Cloyster;123.jpg;5
124;30;35;30;100;35;80;1;124;Gastly;124.jpg;0
125;45;50;45;115;55;95;1;125;Haunter;125.jpg;4
126;60;65;60;130;75;110;2;126;Gengar;126.jpg;4
127;60;65;80;170;95;130;2;127;Mega Gengar;127.jpg;4
128;35;45;160;30;45;70;1;128;Onix;128.jpg;3
129;60;48;45;43;90;42;1;129;Drowzee;129.jpg;3
130;85;73;70;73;115;67;1;130;Hypno;130.jpg;4
131;30;105;90;25;25;50;1;131;Krabby;131.jpg;3
132;55;130;115;50;50;75;1;132;Kingler;132.jpg;1
133;40;30;50;55;55;100;2;133;Voltorb;133.jpg;0
134;40;30;50;55;55;100;2;134;Hisuian Voltorb;134.jpg;0
135;60;50;70;80;80;150;2;135;Electrode;135.jpg;4
136;60;50;70;80;80;150;2;136;Hisuian Electrode;136.jpg;4
137;60;40;80;60;45;40;1;137;Exeggcute;137.jpg;3
138;95;95;85;125;75;55;2;138;Exeggutor;138.jpg;2
139;95;105;85;125;75;45;2;139;Alolan Exeggutor;139.jpg;5
140;50;50;95;40;50;35;1;140;Cubone;140.jpg;3
141;60;80;110;50;80;45;2;141;Marowak;141.jpg;5
142;60;80;110;50;80;45;2;142;Alolan Marowak;142.jpg;5
143;50;120;53;35;110;87;1;143;Hitmonlee;143.jpg;1
144;50;105;79;35;110;76;1;144;Hitmonchan;144.jpg;1
145;90;55;75;60;75;30;1;145;Lickitung;145.jpg;5
146;40;65;95;60;45;35;1;146;Koffing;146.jpg;3
147;65;90;120;85;70;60;2;147;Weezing;147.jpg;5
148;65;90;120;85;70;60;2;148;Galarian Weezing;148.jpg;5
149;80;85;95;30;30;25;1;149;Rhyhorn;149.jpg;3
150;105;130;120;45;45;40;1;150;Rhydon;150.jpg;5
151;250;5;5;35;105;50;1;151;Chansey;151.jpg;5
152;65;55;115;100;40;60;1;152;Tangela;152.jpg;4
153;105;95;80;40;80;90;2;153;Kangaskhan;153.jpg;1
154;105;125;100;60;100;100;2;154;Mega Kangaskhan;154.jpg;2
155;30;40;70;70;25;60;1;155;Horsea;155.jpg;0
156;55;65;95;95;45;85;1;156;Seadra;156.jpg;4
157;45;67;60;35;50;63;1;157;Goldeen;157.jpg;0
158;80;92;65;65;80;68;1;158;Seaking;158.jpg;1
159;30;45;55;70;55;85;1;159;Staryu;159.jpg;0
160;60;75;85;100;85;115;1;160;Starmie;160.jpg;4
161;40;45;65;100;120;90;2;161;Mr. Mime;161.jpg;4
162;50;65;65;90;90;100;2;162;Galarian Mr. Mime;162.jpg;4
163;70;110;80;55;80;105;1;163;Scyther;163.jpg;1
164;65;50;35;115;95;95;1;164;Jynx;164.jpg;4
165;65;83;57;95;85;105;1;165;Electabuzz;165.jpg;4
166;65;95;57;100;85;93;1;166;Magmar;166.jpg;4
167;65;125;100;55;70;85;2;167;Pinsir;167.jpg;1
168;65;155;120;65;90;105;2;168;Mega Pinsir;168.jpg;2
169;75;100;95;40;70;110;4;169;Tauros;169.jpg;1
170;75;110;105;30;70;100;4;170;Combat Breed;170.jpg;1
171;75;110;105;30;70;100;4;171;Blaze Breed;171.jpg;1
172;75;110;105;30;70;100;4;172;Aqua Breed;172.jpg;1
173;20;10;55;15;20;80;1;173;Magikarp;173.jpg;1
174;95;125;79;60;100;81;2;174;Gyarados;174.jpg;1
175;95;155;109;70;130;81;2;175;Mega Gyarados;175.jpg;2
176;130;85;80;85;95;60;1;176;Lapras;176.jpg;2
177;48;48;48;48;48;48;1;177;Ditto;177.jpg;0
178;55;55;50;45;65;55;2;178;Eevee;178.jpg;0
179;65;75;70;65;85;75;2;179;Partner Eevee;179.jpg;4
180;130;65;60;110;95;65;1;180;Vaporeon;180.jpg;4
181;65;65;60;110;95;130;1;181;Jolteon;181.jpg;4
182;65;130;60;95;110;65;1;182;Flareon;182.jpg;2
183;65;60;70;85;75;40;1;183;Porygon;183.jpg;5
184;35;40;100;90;55;35;1;184;Omanyte;184.jpg;3
185;70;60;125;115;70;55;1;185;Omastar;185.jpg;5
186;30;80;90;55;45;55;1;186;Kabuto;186.jpg;3
187;60;115;105;65;70;80;1;187;Kabutops;187.jpg;1
188;80;105;65;60;75;130;2;188;Aerodactyl;188.jpg;1
189;80;135;85;70;95;150;2;189;Mega Aerodactyl;189.jpg;2
190;160;110;65;65;110;30;1;190;Snorlax;190.jpg;5
191;90;85;100;95;125;85;2;191;Articuno;191.jpg;2
192;90;85;85;125;100;95;2;192;Galarian Articuno;192.jpg;2
193;90;90;85;125;90;100;2;193;Zapdos;193.jpg;2
194;90;125;90;85;90;100;2;194;Galarian Zapdos;194.jpg;2
195;90;100;90;125;85;90;2;195;Moltres;195.jpg;2
196;90;85;90;100;125;90;2;196;Galarian Moltres;196.jpg;2
197;41;64;45;50;50;50;1;197;Dratini;197.jpg;0
198;61;84;65;70;70;70;1;198;Dragonair;198.jpg;1
199;91;134;95;100;100;80;1;199;Dragonite;199.jpg;2
200;106;110;90;154;90;130;3;200;Mewtwo;200.jpg;2
201;106;190;100;154;100;130;3;201;Mega Mewtwo X;201.jpg;2
202;106;150;70;194;120;140;3;202;Mega Mewtwo Y;202.jpg;2
203;100;100;100;100;100;100;1;203;Mew;203.jpg;2
204;45;49;65;49;65;45;1;204;Chikorita;204.jpg;3
205;60;62;80;63;80;60;1;205;Bayleef;205.jpg;4
206;80;82;100;83;100;80;1;206;Meganium;206.jpg;2
207;39;52;43;60;50;65;1;207;Cyndaquil;207.jpg;0
208;58;64;58;80;65;80;1;208;Quilava;208.jpg;4
209;78;84;78;109;85;100;2;209;Typhlosion;209.jpg;2
210;73;84;78;119;85;95;2;210;Hisuian Typhlosion;210.jpg;2
211;50;65;64;44;48;43;1;211;Totodile;211.jpg;3
212;65;80;80;59;63;58;1;212;Croconaw;212.jpg;1
213;85;105;100;79;83;78;1;213;Feraligatr;213.jpg;2
214;35;46;34;35;45;20;1;214;Sentret;214.jpg;3
215;85;76;64;45;55;90;1;215;Furret;215.jpg;1
216;60;30;30;36;56;50;1;216;Hoothoot;216.jpg;0
217;100;50;50;86;96;70;1;217;Noctowl;217.jpg;4
218;40;20;30;40;80;55;1;218;Ledyba;218.jpg;0
219;55;35;50;55;110;85;1;219;Ledian;219.jpg;4
220;40;60;40;40;40;30;1;220;Spinarak;220.jpg;3
221;70;90;70;60;70;40;1;221;Ariados;221.jpg;5
222;85;90;80;70;80;130;1;222;Crobat;222.jpg;1
223;75;38;38;56;56;67;1;223;Chinchou;223.jpg;0
224;125;58;58;76;76;67;1;224;Lanturn;224.jpg;4
225;20;40;15;35;35;60;1;225;Pichu;225.jpg;3
226;50;25;28;45;55;15;1;226;Cleffa;226.jpg;0
227;90;30;15;40;20;15;1;227;Igglybuff;227.jpg;3
228;35;20;65;40;65;20;1;228;Togepi;228.jpg;3
229;55;40;85;80;105;40;1;229;Togetic;229.jpg;4
230;40;50;45;70;45;70;1;230;Natu;230.jpg;0
231;65;75;70;95;70;95;1;231;Xatu;231.jpg;4
232;55;40;40;65;45;35;1;232;Mareep;232.jpg;3
233;70;55;55;80;60;45;1;233;Flaaffy;233.jpg;4
234;90;75;85;115;90;55;2;234;Ampharos;234.jpg;4
235;90;95;105;165;110;45;2;235;Mega Ampharos;235.jpg;2
236;75;80;95;90;100;50;1;236;Bellossom;236.jpg;5
237;70;20;50;20;50;40;1;237;Marill;237.jpg;3
238;100;50;80;60;80;50;1;238;Azumarill;238.jpg;5
239;70;100;115;30;65;30;1;239;Sudowoodo;239.jpg;5
240;90;75;75;90;100;70;1;240;Politoed;240.jpg;4
241;35;35;40;35;55;50;1;241;Hoppip;241.jpg;0
242;55;45;50;45;65;80;1;242;Skiploom;242.jpg;0
243;75;55;70;55;95;110;1;243;Jumpluff;243.jpg;4
244;55;70;55;40;55;85;1;244;Aipom;244.jpg;0
245;30;30;30;30;30;30;1;245;Sunkern;245.jpg;3
246;75;75;55;105;85;30;1;246;Sunflora;246.jpg;5
247;65;65;45;75;45;95;1;247;Yanma;247.jpg;0
248;55;45;45;25;25;15;2;248;Wooper;248.jpg;0
249;55;45;45;25;25;15;2;249;Paldean Wooper;249.jpg;0
250;95;85;85;65;65;35;1;250;Quagsire;250.jpg;5
251;65;65;60;130;95;110;1;251;Espeon;251.jpg;4
252;95;65;110;60;130;65;1;252;Umbreon;252.jpg;5
253;60;85;42;85;42;91;1;253;Murkrow;253.jpg;1
254;95;75;80;100;110;30;2;254;Slowking;254.jpg;5
255;95;65;80;110;110;30;2;255;Galarian Slowking;255.jpg;5
256;60;60;60;85;85;85;1;256;Misdreavus;256.jpg;4
257;48;72;48;72;48;48;1;257;Unown;257.jpg;0
258;190;33;58;33;58;33;1;258;Wobbuffet;258.jpg;3
259;70;80;65;90;65;85;1;259;Girafarig;259.jpg;4
260;50;65;90;35;35;15;1;260;Pineco;260.jpg;3
261;75;90;140;60;60;40;1;261;Forretress;261.jpg;5
262;100;70;70;65;65;45;1;262;Dunsparce;262.jpg;5
263;65;75;105;35;65;85;1;263;Gligar;263.jpg;1
264;75;85;200;55;65;30;2;264;Steelix;264.jpg;5
265;75;125;230;55;95;30;2;265;Mega Steelix;265.jpg;5
266;60;80;50;40;40;30;1;266;Snubbull;266.jpg;3
267;90;120;75;60;60;45;1;267;Granbull;267.jpg;5
268;65;95;85;55;55;85;2;268;Qwilfish;268.jpg;1
269;65;95;85;55;55;85;2;269;Hisuian Qwilfish;269.jpg;1
270;70;130;100;55;80;65;2;270;Scizor;270.jpg;1
271;70;150;140;65;100;75;2;271;Mega Scizor;271.jpg;2
272;20;10;230;10;230;5;1;272;Shuckle;272.jpg;1
273;80;125;75;40;95;85;2;273;Heracross;273.jpg;1
274;80;185;115;40;105;75;2;274;Mega Heracross;274.jpg;1
275;55;95;55;35;75;115;2;275;Sneasel;275.jpg;1
276;55;95;55;35;75;115;2;276;Hisuian Sneasel;276.jpg;1
277;60;80;50;50;50;40;1;277;Teddiursa;277.jpg;3
278;90;130;75;75;75;55;1;278;Ursaring;278.jpg;5
279;40;40;40;70;40;20;1;279;Slugma;279.jpg;3
280;60;50;120;90;80;30;1;280;Magcargo;280.jpg;5
281;50;50;40;30;30;50;1;281;Swinub;281.jpg;0
282;100;100;80;60;60;50;1;282;Piloswine;282.jpg;5
283;65;55;95;65;95;35;2;283;Corsola;283.jpg;5
284;60;55;100;65;100;30;2;284;Galarian Corsola;284.jpg;5
285;35;65;35;65;35;65;1;285;Remoraid;285.jpg;0
286;75;105;75;105;75;45;1;286;Octillery;286.jpg;5
287;45;55;45;65;45;75;1;287;Delibird;287.jpg;0
288;85;40;70;80;140;70;1;288;Mantine;288.jpg;4
289;65;80;140;40;70;70;1;289;Skarmory;289.jpg;1
290;45;60;30;80;50;65;1;290;Houndour;290.jpg;0
291;75;90;50;110;80;95;2;291;Houndoom;291.jpg;4
292;75;90;90;140;90;115;2;292;Mega Houndoom;292.jpg;2
293;75;95;95;95;95;85;1;293;Kingdra;293.jpg;2
294;90;60;60;40;40;40;1;294;Phanpy;294.jpg;3
295;90;120;120;60;60;50;1;295;Donphan;295.jpg;5
296;85;80;90;105;95;60;1;296;Porygon2;296.jpg;2
297;73;95;62;85;65;85;1;297;Stantler;297.jpg;1
298;55;20;35;20;45;75;1;298;Smeargle;298.jpg;0
299;35;35;35;35;35;35;1;299;Tyrogue;299.jpg;0
300;50;95;95;35;110;70;1;300;Hitmontop;300.jpg;1
301;45;30;15;85;65;65;1;301;Smoochum;301.jpg;4
302;45;63;37;65;55;95;1;302;Elekid;302.jpg;0
303;45;75;37;70;55;83;1;303;Magby;303.jpg;0
304;95;80;105;40;70;100;1;304;Miltank;304.jpg;1
305;255;10;10;75;135;55;1;305;Blissey;305.jpg;4
306;90;85;75;115;100;115;1;306;Raikou;306.jpg;2
307;115;115;85;90;75;100;1;307;Entei;307.jpg;2
308;100;75;115;90;115;85;1;308;Suicune;308.jpg;2
309;50;64;50;45;50;41;1;309;Larvitar;309.jpg;3
310;70;84;70;65;70;51;1;310;Pupitar;310.jpg;5
311;100;134;110;95;100;61;2;311;Tyranitar;311.jpg;2
312;100;164;150;95;120;71;2;312;Mega Tyranitar;312.jpg;2
313;106;90;130;90;154;110;1;313;Lugia;313.jpg;2
314;106;130;90;110;154;90;1;314;Ho-oh;314.jpg;2
315;100;100;100;100;100;100;1;315;Celebi;315.jpg;2
316;40;45;35;65;55;70;1;316;Treecko;316.jpg;0
317;50;65;45;85;65;95;1;317;Grovyle;317.jpg;4
318;70;85;65;105;85;120;2;318;Sceptile;318.jpg;2
319;70;110;75;145;85;145;2;319;Mega Sceptile;319.jpg;2
320;45;60;40;70;50;45;1;320;Torchic;320.jpg;0
321;60;85;60;85;60;55;1;321;Combusken;321.jpg;4
322;80;120;70;110;70;80;2;322;Blaziken;322.jpg;2
323;80;160;80;130;80;100;2;323;Mega Blaziken;323.jpg;2
324;50;70;50;50;50;40;1;324;Mudkip;324.jpg;3
325;70;85;70;60;70;50;1;325;Marshtomp;325.jpg;5
326;100;110;90;85;90;60;2;326;Swampert;326.jpg;2
327;100;150;110;95;110;70;2;327;Mega Swampert;327.jpg;2
328;35;55;35;30;30;35;1;328;Poochyena;328.jpg;3
329;70;90;70;60;60;70;1;329;Mightyena;329.jpg;1
330;38;30;41;30;41;60;2;330;Zigzagoon;330.jpg;0
331;38;30;41;30;41;60;2;331;Galarian Zigzagoon;331.jpg;0
332;78;70;61;50;61;100;2;332;Linoone;332.jpg;1
333;78;70;61;50;61;100;2;333;Galarian Linoone;333.jpg;1
334;45;45;35;20;30;20;1;334;Wurmple;334.jpg;3
335;50;35;55;25;25;15;1;335;Silcoon;335.jpg;0
336;60;70;50;100;50;65;1;336;Beautifly;336.jpg;4
337;50;35;55;25;25;15;1;337;Cascoon;337.jpg;0
338;60;50;70;50;90;65;1;338;Dustox;338.jpg;4
339;40;30;30;40;50;30;1;339;Lotad;339.jpg;3
340;60;50;50;60;70;50;1;340;Lombre;340.jpg;0
341;80;70;70;90;100;70;1;341;Ludicolo;341.jpg;4
342;40;40;50;30;30;30;1;342;Seedot;342.jpg;3
343;70;70;40;60;40;60;1;343;Nuzleaf;343.jpg;0
344;90;100;60;90;60;80;1;344;Shiftry;344.jpg;1
345;40;55;30;30;30;85;1;345;Taillow;345.jpg;0
346;60;85;60;75;50;125;1;346;Swellow;346.jpg;1
347;40;30;30;55;30;85;1;347;Wingull;347.jpg;0
348;60;50;100;95;70;65;1;348;Pelipper;348.jpg;4
349;28;25;25;45;35;40;1;349;Ralts;349.jpg;0
350;38;35;35;65;55;50;1;350;Kirlia;350.jpg;0
351;68;65;65;125;115;80;2;351;Gardevoir;351.jpg;4
352;68;85;65;165;135;100;2;352;Mega Gardevoir;352.jpg;2
353;40;30;32;50;52;65;1;353;Surskit;353.jpg;0
354;70;60;62;100;82;80;1;354;Masquerain;354.jpg;4
355;60;40;60;40;60;35;1;355;Shroomish;355.jpg;3
356;60;130;80;60;60;70;1;356;Breloom;356.jpg;1
357;60;60;60;35;35;30;1;357;Slakoth;357.jpg;3
358;80;80;80;55;55;90;1;358;Vigoroth;358.jpg;1
359;150;160;100;95;65;100;1;359;Slaking;359.jpg;2
360;31;45;90;30;30;40;1;360;Nincada;360.jpg;3
361;61;90;45;50;50;160;1;361;Ninjask;361.jpg;1
362;1;90;45;30;30;40;1;362;Shedinja;362.jpg;3
363;64;51;23;51;23;28;1;363;Whismur;363.jpg;0
364;84;71;43;71;43;48;1;364;Loudred;364.jpg;0
365;104;91;63;91;73;68;1;365;Exploud;365.jpg;2
366;72;60;30;20;30;25;1;366;Makuhita;366.jpg;3
367;144;120;60;40;60;50;1;367;Hariyama;367.jpg;1
368;50;20;40;20;40;20;1;368;Azurill;368.jpg;3
369;30;45;135;45;90;30;1;369;Nosepass;369.jpg;3
370;50;45;45;35;35;50;1;370;Skitty;370.jpg;0
371;70;65;65;55;55;90;1;371;Delcatty;371.jpg;1
372;50;75;75;65;65;50;2;372;Sableye;372.jpg;5
373;50;85;125;85;115;20;2;373;Mega Sableye;373.jpg;5
374;50;85;85;55;55;50;2;374;Mawile;374.jpg;5
375;50;105;125;55;95;50;2;375;Mega Mawile;375.jpg;5
376;50;70;100;40;40;30;1;376;Aron;376.jpg;3
377;60;90;140;50;50;40;1;377;Lairon;377.jpg;5
378;70;110;180;60;60;50;2;378;Aggron;378.jpg;5
379;70;140;230;60;80;50;2;379;Mega Aggron;379.jpg;5
380;30;40;55;40;55;60;1;380;Meditite;380.jpg;0
381;60;60;75;60;75;80;2;381;Medicham;381.jpg;4
382;60;100;85;80;85;100;2;382;Mega Medicham;382.jpg;2
383;40;45;40;65;40;65;1;383;Electrike;383.jpg;0
384;70;75;60;105;60;105;2;384;Manectric;384.jpg;4
385;70;75;80;135;80;135;2;385;Mega Manectric;385.jpg;2
386;60;50;40;85;75;95;1;386;Plusle;386.jpg;4
387;60;40;50;75;85;95;1;387;Minun;387.jpg;4
388;65;73;75;47;85;85;1;388;Volbeat;388.jpg;1
389;65;47;75;73;85;85;1;389;Illumise;389.jpg;4
390;50;60;45;100;80;65;1;390;Roselia;390.jpg;4
391;70;43;53;43;53;40;1;391;Gulpin;391.jpg;3
392;100;73;83;73;83;55;1;392;Swalot;392.jpg;5
393;45;90;20;65;20;65;1;393;Carvanha;393.jpg;1
394;70;120;40;95;40;95;2;394;Sharpedo;394.jpg;1
395;70;140;70;110;65;105;2;395;Mega Sharpedo;395.jpg;2
396;130;70;35;70;35;60;1;396;Wailmer;396.jpg;0
397;170;90;45;90;45;60;1;397;Wailord;397.jpg;1
398;60;60;40;65;45;35;1;398;Numel;398.jpg;3
399;70;100;70;105;75;40;2;399;Camerupt;399.jpg;5
400;70;120;100;145;105;20;2;400;Mega Camerupt;400.jpg;5
401;70;85;140;85;70;20;1;401;Torkoal;401.jpg;5
402;60;25;35;70;80;60;1;402;Spoink;402.jpg;0
403;80;45;65;90;110;80;1;403;Grumpig;403.jpg;4
404;60;60;60;60;60;60;1;404;Spinda;404.jpg;0
405;45;100;45;45;45;10;1;405;Trapinch;405.jpg;0
406;50;70;50;50;50;70;1;406;Vibrava;406.jpg;0
407;80;100;80;80;80;100;1;407;Flygon;407.jpg;2
408;50;85;40;85;40;35;1;408;Cacnea;408.jpg;3
409;70;115;60;115;60;55;1;409;Cacturne;409.jpg;2
410;45;40;60;40;75;50;1;410;Swablu;410.jpg;3
411;75;70;90;70;105;80;2;411;Altaria;411.jpg;4
412;75;110;110;110;105;80;2;412;Mega Altaria;412.jpg;2
413;73;115;60;60;60;90;1;413;Zangoose;413.jpg;1
414;73;100;60;100;60;65;1;414;Seviper;414.jpg;1
415;90;55;65;95;85;70;1;415;Lunatone;415.jpg;4
416;90;95;85;55;65;70;1;416;Solrock;416.jpg;1
417;50;48;43;46;41;60;1;417;Barboach;417.jpg;0
418;110;78;73;76;71;60;1;418;Whiscash;418.jpg;5
419;43;80;65;50;35;35;1;419;Corphish;419.jpg;3
420;63;120;85;90;55;55;1;420;Crawdaunt;420.jpg;5
421;40;40;55;40;70;55;1;421;Baltoy;421.jpg;0
422;60;70;105;70;120;75;1;422;Claydol;422.jpg;4
423;66;41;77;61;87;23;1;423;Lileep;423.jpg;3
424;86;81;97;81;107;43;1;424;Cradily;424.jpg;5
425;45;95;50;40;50;75;1;425;Anorith;425.jpg;0
426;75;125;100;70;80;45;1;426;Armaldo;426.jpg;5
427;20;15;20;10;55;80;1;427;Feebas;427.jpg;1
428;95;60;79;100;125;81;1;428;Milotic;428.jpg;4
429;70;70;70;70;70;70;4;429;Castform;429.jpg;4
